node_id,claim,assumptions
1,Ionic liquids used for carbon dioxide capture can be either conventional (ex. Imidazolium based) or task-specific (amine-based).,"{1: 'Ionic liquids can be categorized as conventional or task-specific.', 2: 'Conventional ionic liquids for carbon dioxide capture include imidazolium based ionic liquids.', 3: 'Task-specific ionic liquids for carbon dioxide capture include amine-based ionic liquids.'}"
1.1.1,Conventional ionic liquids do not have any functional groups bonded to the cation and/or anion.,"{2: 'Functional groups can be bonded to the cation/anion of an ionic liquid.', 1: 'Ionic liquids are made up of different cations-anion combinations', 3: 'No functional groups bonded to the cation and/or anion exist in conventional ionic liquids.'}"
1.1.1.1,Ionic liquids contain a cation.,"{1: 'Ionic liquids exist.', 2: 'Ionic liquids consist of ions. (Basic level assumption)', 3: 'Ionic liquids contain a cation.'}"
1.1.1.2,An example of ionic liquid cation is imidazolium.,{1: 'none - The claim is a fact.'}
1.1.1.3,Ionic liquids contain an anion.,"{1: 'Ionic liquids consist of ions. (Basic level assumption)', 2: 'Ionic liquids contain anions as one of the components. (Derived assumption)'}"
1.1.1.4,An example of ionic liquid anion is tetrafluoroborate.,{1: 'none - The claim is a fact.'}
1.2,Task-specific ionic liquids have a function group bonded to the cation and/or anion.,"{1: 'Ionic liquids exist in a specific form called task-specific ionic liquids.', 2: 'Functional groups can be bonded to the cation/anion of an ionic liquid.'}"
1.2.1,The functional group bonded to cation and/or anion in a task-specific ionic liquid is chosen based on the process design.,"{1: 'There exist task-specific ionic liquids.', 2: 'Task-specific ionic liquids have functional groups bonded to their cation and/or anion.', 3: 'The choice of the functional group bonded to the cation and/or anion in a task-specific ionic liquid depends on the process design.'}"
1.2.1.1,An example of process design where task-specific ionic liquids are used is carbon dioxide capture from flue gas effluent.,"{1: 'There exist task-specific ionic liquids.', 2: 'Carbon dioxide can be captured using ionic liquids.', 3: 'There exist task-specific ionic liquids.', 5: 'Carbon dioxide can be captured from flue gas effluent.'}"
1.2.1.1.1,Ionic liquids can capture carbon dioxide.,{1: 'none - The claim is a fact.'}
1.2.1.1.2,Flue gas effluents contains carbon dioxide.,{1: 'none - The claim is a fact.'}
1.2.1.2,An example of the functional group in a task-specific ionic liquid for carbon dioxide capture is amine.,"{1: 'Task-specific ionic liquids exist for carbon dioxide capture.', 2: 'Task-specific ionic liquids for carbon dioxide capture contain functional groups.', 3: 'Amine is an example of a functional group found in an ionic liquid designed for carbon dioxide capture.'}"
1.2.2,Task-specific ionic liquids are also termed functionalized ionic liquids due to the presence of functional group.,"{1: 'There exist task-specific ionic liquids.', 2: 'Functional groups can be present in ionic liquids.', 3: 'The presence of functional groups in ionic liquids leads to their classification as functionalized ionic liquids.'}"
2,Task-specific ionic liquids are more equipped to absorb lower concentrations of carbon dioxide from incoming gas streams than conventional ionic liquids.,"{1: 'Task-specific ionic liquids can absorb carbon dioxide from incoming gas streams.', 2: 'Conventional ionic liquids can absorb carbon dioxide from incoming gas streams.', 3: 'Task-specific ionic liquids are more effective than conventional ionic liquids in absorbing lower concentrations of carbon dioxide.'}"
2.1,Task-specific ionic liquids absorb carbon dioxide.,"{1: 'Ionic liquids exist in various task-specific forms.', 2: 'Ionic liquids have the capability to absorb carbon dioxide.'}"
2.1.1,Task-specific ionic liquids can greatly absorb carbon dioxide present in low concentrations.,"{1: 'Task-specific ionic liquids can interact with carbon dioxide.', 2: 'Carbon dioxide can be absorbed by task-specific ionic liquids.', 3: 'Task-specific ionic liquids can absorb carbon dioxide present in low concentrations.'}"
2.1.2,Functional groups in task-specific ionic liquids chemically react with carbon dioxide.,"{1: 'Task-specific ionic liquids contain functional groups.', 2: 'Functional groups in ionic liquids are capable of reacting with carbon dioxide.'}"
2.1.2.1,The process of carbon dioxide capture by task-specific ionic liquids is known as chemisorption.,"{1: 'Carbon dioxide capture is accomplished using task-specific ionic liquids.', 2: 'The process by which carbon dioxide reacts with and adsorbs into task-specific ionic liquids is referred to as chemisorption.'}"
2.2,Conventional ionic liquids absorb carbon dioxide.,"{1: 'Ionic liquids can be termed as conventional ionic liquids.', 2: 'Ionic liquids have the capability to absorb carbon dioxide.'}"
2.2.1,Conventional ionic liquids cannot greatly absorb carbon dioxide present in low concentrations.,"{1: 'Conventional ionic liquids can absorb carbon dioxide.', 2: 'Conventional ionic liquids cannot absorb carbon dioxide to significant extent when present in low concentrations.'}"
2.2.2,Conventional ionic liquids do not react with carbon dioxide.,"{1: 'Ionic liquids referred to as conventional are specific types of ionic liquids.', 2: 'These conventional ionic liquids do not react with carbon dioxide.'}"
2.2.3,Conventional ionic liquids physically absorb carbon dioxide.,{1: 'none - The claim is a fact.'}
2.2.3.1,The process of carbon dioxide capture by conventional ionic liquids is known as physisorption.,"{1: 'Carbon dioxide capture is accomplished using conventional ionic liquids.', 2: 'The process by which carbon dioxide adsorbs into conventionalionic liquids is referred to as physisorption.'}"
2.3,Reaction between carbon dioxide and functional groups in task-specific ionic liquids is the reason for higher absorption capacity of task-specific ionic liquids in comparison to conventional ionic liquids.,"{1: 'Reaction between carbon dioxide and functional groups occurs in task-specific ionic liquids.', 2: 'Higher absorption capacity of task-specific ionic liquids is due to reactions between carbon dioxide and the functional groups in the task-specific ionic liquids.', 3: 'Conventional ionic liquids have a lower absorption capacity for carbon dioxide compared to task-specific ionic liquids.'}"
3,In the process of carbon dioxide capture using ionic liquids regeneration of task-specific ionic liquids are more energy intensive than conventional ionic liquids.,"{1: 'Ionic liquids can be regenerated.', 2: 'The process of carbon dioxide capture using ionic liquids involves the use of task-specific ionic liquids and conventional ionic liquids.', 3: 'Regeneration of task-specific ionic liquids is more energy-intensive than the regeneration of conventional ionic liquids.'}"
3.1,Task-specific ionic liquids can be regenerated.,"{1: 'Ionic liquids can be regenerated.', 2: 'Ionic liquids for specific tasks can also be regenerated (more complex assumption).'}"
3.1.1,Task-specific ionic liquids require high thermal energy for ionic liquid regeneration.,"{1: 'Ionic liquids can be regenerated using thermal energy.', 2: 'Task-specific ionic liquids require thermal energy for regeneration.'}"
3.1.2,Higher energy consumption is required to reverse engineer the reaction between functional groups of task-specific ionic liquids and carbon dioxide.,"{1: 'Reaction between carbon dioxide and functional groups occurs in task-specific ionic liquids.', 2: 'Reversing the reaction between functional groups of task-specific ionic liquids and carbon dioxide requires higher energy consumption.'}"
3.2,Conventional ionic liquids can be regenerated.,"{1: 'Ionic liquids can be regenerated.', 2: 'Ionic liquids catogorized as conventional can also be regenerated (more complex assumption).'}"
3.2.1,Conventional ionic liquids require low energies for regeneration.,"{1: 'Ionic liquids can be termed as conventional.', 2: 'Conventional ionic liquids require low energies for regeneration.'}"
4,Introduction of functionalization of conventional ionic liquids to form task-specific ionic liquids incurs additional costs to regenerate ionic liquids used for carbon dioxide capture.,"{1: 'Ionic liquids can be functionalized to form task-specific ionic liquids.', 2: 'Regeneration of functionalized ionic liquids used in carbon dioxide capture incurs additional costs compared to conventional ionic liquids for carbon dioxide capture.'}"
4.1,Adding functional groups to conventional ionic liquids is a cost-intensive process.,"{1: 'Conventional ionic liquids can be modified by adding functional groups.', 2: 'Adding functional groups to conventional ionic liquids is a cost-intensive process.'}"
4.2,Regeneration of task-specific ionic liquids requires higher energy consumption than conventional ionic liquids.,"{1: 'Task-specific ionic liquids can be regenerated.', 2: 'Conventional ionic liquids can be regenerated.', 3: 'Task-specific ionic liquids and conventional ionic liquids can be differentiated based on their ability to be regenerated.', 5: 'Higher energy consumption is required for the regeneration of task-specific ionic liquids as compared to conventional ionic liquids.'}"
4.2.1,Higher energy consumption for regeneration of ionic liquids is a cost-intensive process.,"{1: 'Ionic liquid regenration involves energy consumption.', 2: 'Energy consumption for ionic liquids regenration incurs cost.'}"
